"","species","genus","family","order","group","velocity","log.velocity"
"830","Hieracium amplexicaule","Hieracium","Asteraceae","Asterales","Angiosperms",1.8,0.255272505
"831","Hieracium vulgatum","Hieracium","Asteraceae","Asterales","Angiosperms",0.94,-0.026872146
"832","Carlina vulgaris","Carlina","Asteraceae","Asterales","Angiosperms",0.59,-0.229147988
"833","Calendula officinalis","Calendula","Asteraceae","Asterales","Angiosperms",3.89,0.589949601
"834","Calendula arvensis","Calendula","Asteraceae","Asterales","Angiosperms",3.54,0.549003262
"835","Buphthalmum salicifolium","Buphthalmum","Asteraceae","Asterales","Angiosperms",2.41,0.382017043
"836","Pulicaria dysenterica","Pulicaria","Asteraceae","Asterales","Angiosperms",0.42,-0.37675071
"837","Inula helenium","Inula","Asteraceae","Asterales","Angiosperms",0.68,-0.167491087
"838","Inula salicina","Inula","Asteraceae","Asterales","Angiosperms",0.28,-0.552841969
"839","Inula hirta","Inula","Asteraceae","Asterales","Angiosperms",0.65,-0.187086643
"840","Inula britannica","Inula","Asteraceae","Asterales","Angiosperms",0.29,-0.537602002
"841","Cichorium intybus","Cichorium","Asteraceae","Asterales","Angiosperms",3.45,0.537819095
"842","Tolpis staticifolia","Tolpis","Asteraceae","Asterales","Angiosperms",0.45681,-0.340264398
"843","Chondrilla juncea","Chondrilla","Asteraceae","Asterales","Angiosperms",0.76,-0.119186408
"844","Jurinea cyanoides","Jurinea","Asteraceae","Asterales","Angiosperms",1.35,0.130333768
"845","Doronicum grandiflorum","Doronicum","Asteraceae","Asterales","Angiosperms",0.88786,-0.051655509
"846","Doronicum clusii","Doronicum","Asteraceae","Asterales","Angiosperms",0.94,-0.026872146
"847","Echinops sphaerocephalus","Echinops","Asteraceae","Asterales","Angiosperms",1.62,0.209515015
"848","Onopordum acanthium","Onopordum","Asteraceae","Asterales","Angiosperms",2.49,0.396199347
"849","Carduus tenuiflorus","Carduus","Asteraceae","Asterales","Angiosperms",0.79,-0.102372909
"850","Carduus crispus","Carduus","Asteraceae","Asterales","Angiosperms",1.33,0.123851641
"851","Carduus acanthoides","Carduus","Asteraceae","Asterales","Angiosperms",0.39,-0.408935393
"852","Carduus nutans","Carduus","Asteraceae","Asterales","Angiosperms",0.58,-0.236572006
"853","Carlina acaulis","Carlina","Asteraceae","Asterales","Angiosperms",0.85,-0.070581074
"854","Cirsium helenioides","Cirsium","Asteraceae","Asterales","Angiosperms",0.2,-0.698970004
"855","Cirsium palustre","Cirsium","Asteraceae","Asterales","Angiosperms",0.43,-0.366531544
"856","Cirsium arvense","Cirsium","Asteraceae","Asterales","Angiosperms",0.37,-0.431798276
"857","Cirsium vulgare","Cirsium","Asteraceae","Asterales","Angiosperms",0.9,-0.045757491
"858","Cirsium spinosissimum","Cirsium","Asteraceae","Asterales","Angiosperms",0.4997,-0.301290651
"859","Centaurea cyanus","Centaurea","Asteraceae","Asterales","Angiosperms",4.3,0.633468456
"860","Centaurea montana","Centaurea","Asteraceae","Asterales","Angiosperms",4.73,0.674861141
"861","Carthamus tinctorius","Carthamus","Asteraceae","Asterales","Angiosperms",4.31,0.63447727
"862","Carthamus lanatus","Carthamus","Asteraceae","Asterales","Angiosperms",3.16,0.499687083
"863","Centaurea scabiosa","Centaurea","Asteraceae","Asterales","Angiosperms",3.62,0.558708571
"864","Centaurea nigra","Centaurea","Asteraceae","Asterales","Angiosperms",4.03,0.605305046
"865","Centaurea jacea","Centaurea","Asteraceae","Asterales","Angiosperms",3.77,0.57634135
"866","Centaurea maculosa","Centaurea","Asteraceae","Asterales","Angiosperms",2.72,0.434568904
"867","Arctium minus","Arctium","Asteraceae","Asterales","Angiosperms",3.62,0.558708571
"868","Arctium lappa","Arctium","Asteraceae","Asterales","Angiosperms",4.46,0.649334859
"869","Saussurea alpina","Saussurea","Asteraceae","Asterales","Angiosperms",0.75,-0.124938737
"870","Scorzonera hispanica","Scorzonera","Asteraceae","Asterales","Angiosperms",1.78,0.250420002
"871","Scorzonera laciniata","Scorzonera","Asteraceae","Asterales","Angiosperms",1.05,0.021189299
"872","Scorzonera austriaca","Scorzonera","Asteraceae","Asterales","Angiosperms",1.11,0.045322979
"873","Tragopogon porrifolius","Tragopogon","Asteraceae","Asterales","Angiosperms",0.33,-0.48148606
"874","Tragopogon dubius","Tragopogon","Asteraceae","Asterales","Angiosperms",0.95,-0.022276395
"875","Tragopogon pratensis","Tragopogon","Asteraceae","Asterales","Angiosperms",0.73,-0.13667714
"876","Hieracium intybaceum","Hieracium","Asteraceae","Asterales","Angiosperms",0.8837,-0.053695145
"877","Hieracium pilosella","Hieracium","Asteraceae","Asterales","Angiosperms",0.845,-0.073143291
"878","Hieracium lactucella","Hieracium","Asteraceae","Asterales","Angiosperms",0.8,-0.096910013
"879","Hieracium aurantiacum","Hieracium","Asteraceae","Asterales","Angiosperms",0.38,-0.420216403
"880","Hieracium flagellare","Hieracium","Asteraceae","Asterales","Angiosperms",0.37,-0.431798276
"881","Hieracium piloselloides","Hieracium","Asteraceae","Asterales","Angiosperms",0.63,-0.200659451
"882","Hieracium caespitosum","Hieracium","Asteraceae","Asterales","Angiosperms",0.49,-0.30980392
"883","Hieracium echioides","Hieracium","Asteraceae","Asterales","Angiosperms",0.94,-0.026872146
"884","Hieracium alpinum","Hieracium","Asteraceae","Asterales","Angiosperms",0.92936,-0.031816024
"885","Hieracium porrifolium","Hieracium","Asteraceae","Asterales","Angiosperms",1.25,0.096910013
"886","Hieracium sabaudum","Hieracium","Asteraceae","Asterales","Angiosperms",0.87,-0.060480747
"887","Hieracium laevigatum","Hieracium","Asteraceae","Asterales","Angiosperms",0.93,-0.031517051
"888","Hieracium umbellatum","Hieracium","Asteraceae","Asterales","Angiosperms",0.84,-0.075720714
"889","Hieracium glaucum","Hieracium","Asteraceae","Asterales","Angiosperms",0.72,-0.142667504
"890","Hieracium murorum","Hieracium","Asteraceae","Asterales","Angiosperms",0.6,-0.22184875
"891","Hieracium bifidum","Hieracium","Asteraceae","Asterales","Angiosperms",0.58,-0.236572006
"892","Cicerbita alpina","Cicerbita","Asteraceae","Asterales","Angiosperms",1.02,0.008600172
"893","Lactuca virosa","Lactuca","Asteraceae","Asterales","Angiosperms",1.16,0.064457989
"894","Lactuca serriola","Lactuca","Asteraceae","Asterales","Angiosperms",0.77,-0.113509275
"895","Lactuca perennis","Lactuca","Asteraceae","Asterales","Angiosperms",1.756,0.244524512
"896","Lapsana communis","Lapsana","Asteraceae","Asterales","Angiosperms",3.59,0.555094449
"897","Crepis praemorsa","Crepis","Asteraceae","Asterales","Angiosperms",1.3,0.113943352
"898","Crepis mollis","Crepis","Asteraceae","Asterales","Angiosperms",0.54,-0.26760624
"899","Crepis paludosa","Crepis","Asteraceae","Asterales","Angiosperms",0.92,-0.036212173
"900","Crepis foetida","Crepis","Asteraceae","Asterales","Angiosperms",2.21,0.344392274
"901","Crepis vesicaria","Crepis","Asteraceae","Asterales","Angiosperms",0.4,-0.397940009
"902","Crepis capillaris","Crepis","Asteraceae","Asterales","Angiosperms",0.42,-0.37675071
"903","Crepis biennis","Crepis","Asteraceae","Asterales","Angiosperms",1.5,0.176091259
"904","Prenanthes purpurea","Prenanthes","Asteraceae","Asterales","Angiosperms",0.85,-0.070581074
"905","Hypochaeris glabra","Hypochaeris","Asteraceae","Asterales","Angiosperms",0.93,-0.031517051
"906","Picris hieracioides","Picris","Asteraceae","Asterales","Angiosperms",1.07,0.029383778
"907","Leontodon hispidus","Leontodon","Asteraceae","Asterales","Angiosperms",1.49,0.173186268
"908","Leontodon taraxacoides","Leontodon","Asteraceae","Asterales","Angiosperms",0.97,-0.013228266
"909","Leontodon incanus","Leontodon","Asteraceae","Asterales","Angiosperms",1,0
"910","Hypochaeris maculata","Hypochaeris","Asteraceae","Asterales","Angiosperms",0.83,-0.080921908
"911","Hypochaeris uniflora","Hypochaeris","Asteraceae","Asterales","Angiosperms",0.62,-0.207608311
