"","species","velocity","log.velocity"
"1","Juncus acutiflorus",1.3,0.113943352
"2","Juncus anceps",0.88,-0.055517328
"3","Juncus gerardi",1.84,0.264817823
"4","Juncus atratus",1.22,0.086359831
"5","Luzula multiflora",3.55,0.550228353
"6","Luzula pilosa",4.13,0.615950052
"7","Luzula nivea",2.95,0.469822016
"8","Luzula luzuloides",3.01,0.478566496
"9","Luzula alpinopilosa",2.2767,0.357305808
"10","Luzula sylvatica",4.13,0.615950052
"11","Luzula campestris",3.42,0.534026106
"12","Juncus capitatus",1.06,0.025305865
"13","Juncus squarrosus",2.45,0.389166084
"14","Juncus filiformis",1.72,0.235528447
"15","Juncus compressus",1.38,0.139879086
"16","Juncus ranarius",1.72,0.235528447
"17","Juncus bufonius",2.08,0.318063335
"18","Juncus inflexus",1.64,0.214843848
"19","Juncus effusus",1.66,0.220108088
"20","Juncus conglomeratus",1.03,0.012837225
"21","Juncus articulatus",1.58,0.198657087
"22","Juncus balticus",1.22,0.086359831
"23","Juncus bulbosus",1.12,0.049218023
"24","Juncus maritimus",1.67,0.222716471
"25","Carex scandinavica",2.91,0.463892989
"26","Carex curta",2.55,0.40654018
"27","Carex tomentosa",3.52,0.546542663
"28","Scirpus setaceus",2,0.301029996
"29","Scirpus maritimus",4.24,0.627365857
"30","Scirpus cespitosus",2.78,0.444044796
"31","Scirpus hudsonianus",0.37,-0.431798276
"32","Scirpus lacustris",3.62,0.558708571
"33","Scirpus triqueter",2.94,0.46834733
"34","Cladium mariscus",3.73,0.571708832
"35","Schoenus nigricans",3.47,0.540329475
"36","Carex secalina",2.21,0.344392274
"37","Rhynchospora fusca",2.87,0.457881897
"38","Rhynchospora alba",2.53,0.403120521
"39","Eleocharis quinqueflora",3.38,0.5289167
"40","Eleocharis multicaulis",2.98,0.474216264
"41","Eleocharis acicularis",3.68,0.565847819
"42","Eleocharis ovata",1.75,0.243038049
"43","Eleocharis mamillata",3.33,0.522444234
"44","Eleocharis uniglumis",3.57,0.552668216
"45","Cyperus fuscus",1.55,0.190331698
"46","Blysmus compressus",2.84,0.45331834
"47","Scirpus sylvaticus",1.87,0.271841607
"48","Eriophorum angustifolium",0.6,-0.22184875
"49","Eriophorum vaginatum",0.58,-0.236572006
"50","Carex pauciflora",2.43,0.385606274
"51","Carex baldensis",3.64,0.561101384
"52","Carex davalliana",2.84,0.45331834
"53","Carex dioica",3.09,0.489958479
"54","Carex remota",1.48,0.170261715
"55","Carex brizoides",2.14,0.330413773
"56","Carex chordorrhiza",3.25,0.511883361
"57","Carex disticha",3.01,0.478566496
"58","Carex bohemica",1.68,0.225309282
"59","Carex ovalis",2.1,0.322219295
"60","Carex arenaria",3.16,0.499687083
"61","Carex paniculata",2.63,0.419955748
"62","Carex elongata",2.63,0.419955748
"63","Carex echinata",2.66,0.424881637
"64","Carex foetida",1.4179,0.151645603
