species,velocity,log.velocity
Ranunculus arvensis,7.81,0.892651034
Colchicum autumnale,6.27,0.797267541
Phaseolus coccineus,6.19,0.791690649
Ricinus communis,6.13,0.787460475
Phaseolus vulgaris,5.98,0.776701184
Spinacia oleracea,5.9,0.770852012
Robinia pseudacacia,5.72,0.757396029
Sorghum bicolor,5.71,0.756636108
Lupinus polyphyllus,5.61,0.748962861
Borago officinalis,5.6,0.748188027
Lathyrus tuberosus,5.56,0.745074792
Secale cereale,5.5,0.740362689
Prunus spinosa,5.46,0.737192643
Helianthus annuus,5.44,0.7355989
Ipomoea purpurea,5.43,0.73479983
Prunus spinosa,5.43,0.73479983
Prunus spinosa,5.43,0.73479983
Prunus spinosa,5.43,0.73479983
Prunus spinosa,5.43,0.73479983
Prunus spinosa,5.43,0.73479983
Prunus spinosa,5.38,0.730782276
Prunus spinosa,5.32,0.725911632
Prunus spinosa,5.32,0.725911632
Vicia sativa,5.3,0.72427587
Agrostemma githago,5.29,0.723455672
Lathyrus annuus,5.28,0.722633923
Raphanus sativus,5.26,0.720985744
Prunus spinosa,5.21,0.716837723
Prunus spinosa,5.21,0.716837723
Iris foetidissima,5.15,0.711807229
Vicia sativa s. nigra,5.1,0.707570176
Vicia sepium,5.1,0.707570176
Vicia tetrasperma,5.09,0.706717782
Hordeum vulgare,5.06,0.704150517
Paeonia officinalis,5.06,0.704150517
Vicia sylvatica,5.04,0.702430536
Vicia cracca,5.03,0.701567985
Calystegia sepium,5.01,0.699837726
Convallaria majalis,5.01,0.699837726
Lathyrus aphaca,5,0.698970004
Lathyrus japonicus,5,0.698970004
Lathyrus japonicus,5,0.698970004
Lathyrus pratensis,5,0.698970004
Lathyrus vernus,5,0.698970004
Lathyrus vernus,5,0.698970004
Papaver somniferum,5,0.698970004
Papaver somniferum,5,0.698970004
Phytolacca esculenta,5,0.698970004
Phytolacca esculenta,5,0.698970004
Phytolacca esculenta,5,0.698970004
Polygonatum odoratum,5,0.698970004
Triticum dicoccon,5,0.698970004
Triticum dicoccon,5,0.698970004
Triticum spelta,5,0.698970004
Triticum spelta,5,0.698970004
Vicia sativa s. nigra,5,0.698970004
Vicia sativa s. nigra,5,0.698970004
Vicia sativa s. nigra,5,0.698970004
Vicia sativa s. nigra,5,0.698970004
Vicia sepium,5,0.698970004
Polygonatum multiflorum,4.98,0.697229343
Rhamnus saxatilis,4.98,0.697229343
Vicia sativa s. nigra,4.97,0.696356389
Anchusa azurea,4.96,0.695481676
Convallaria majalis,4.95,0.694605199
Vicia sativa s. nigra,4.95,0.694605199
Genista germanica,4.94,0.693726949
Maianthemum bifolium,4.92,0.691965103
Arum maculatum,4.9,0.69019608
Arum maculatum,4.9,0.69019608
Asparagus officinalis,4.9,0.69019608
Cannabis sativa,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus japonicus,4.9,0.69019608
Lathyrus pratensis,4.9,0.69019608
Lathyrus pratensis,4.9,0.69019608
Lathyrus pratensis,4.9,0.69019608
Lathyrus sylvestris,4.9,0.69019608
Lathyrus sylvestris,4.9,0.69019608
Lathyrus sylvestris,4.9,0.69019608
Lathyrus sylvestris,4.9,0.69019608
Lathyrus sylvestris,4.9,0.69019608
Lathyrus vernus,4.9,0.69019608
Lathyrus vernus,4.9,0.69019608
Lathyrus vernus,4.9,0.69019608
