"","species","val"
"1","Juncus_atratus",0.086359831
"2","Juncus_anceps",-0.055517328
"3","Juncus_gerardi",0.264817823
"4","Juncus_acutiflorus",0.113943352
"5","Luzula_multiflora",0.550228353
"6","Luzula_pilosa",0.615950052
"7","Luzula_nivea",0.469822016
"8","Luzula_luzuloides",0.478566496
"9","Luzula_alpinopilosa",0.357305808
"10","Luzula_sylvatica",0.615950052
"11","Luzula_campestris",0.534026106
"12","Juncus_capitatus",0.025305865
"13","Juncus_squarrosus",0.389166084
"14","Juncus_filiformis",0.235528447
"15","Juncus_compressus",0.139879086
"16","Juncus_ranarius",0.235528447
"17","Juncus_bufonius",0.318063335
"18","Juncus_inflexus",0.214843848
"19","Juncus_effusus",0.220108088
"20","Juncus_conglomeratus",0.012837225
"21","Juncus_articulatus",0.198657087
"22","Juncus_balticus",0.086359831
"23","Juncus_bulbosus",0.049218023
"24","Juncus_maritimus",0.222716471
"25","Schoenus_ferrugineus",0.376576957
"26","Eriophorum_latifolium",-0.229147988
"27","Carex_curta",0.40654018
"28","Carex_scandinavica",0.463892989
"29","Carex_tomentosa",0.546542663
"30","Cyperus_flavescens",0.348304863
"31","Scirpus_maritimus",0.627365857
"32","Scirpus_hudsonianus",-0.431798276
"33","Scirpus_triqueter",0.46834733
"34","Scirpus_cespitosus",0.444044796
"35","Scirpus_setaceus",0.301029996
"36","Scirpus_lacustris",0.558708571
"37","Cladium_mariscus",0.571708832
"38","Schoenus_nigricans",0.540329475
"39","Carex_secalina",0.344392274
"40","Rhynchospora_fusca",0.457881897
"41","Rhynchospora_alba",0.403120521
"42","Eleocharis_quinqueflora",0.5289167
"43","Eleocharis_multicaulis",0.474216264
"44","Eleocharis_acicularis",0.565847819
"45","Eleocharis_ovata",0.243038049
"46","Eleocharis_mamillata",0.522444234
"47","Eleocharis_uniglumis",0.552668216
"48","Cyperus_fuscus",0.190331698
"49","Blysmus_compressus",0.45331834
"50","Scirpus_sylvaticus",0.271841607
"51","Eriophorum_angustifolium",-0.22184875
"52","Eriophorum_vaginatum",-0.236572006
"53","Carex_pauciflora",0.385606274
"54","Carex_baldensis",0.561101384
"55","Carex_davalliana",0.45331834
"56","Carex_dioica",0.489958479
"57","Carex_remota",0.170261715
"58","Carex_brizoides",0.330413773
"59","Carex_chordorrhiza",0.511883361
"60","Carex_disticha",0.478566496
"61","Carex_bohemica",0.225309282
"62","Carex_ovalis",0.322219295
"63","Carex_arenaria",0.499687083
"64","Carex_paniculata",0.419955748
"65","Carex_elongata",0.419955748
"66","Carex_echinata",0.424881637
"67","Carex_foetida",0.151645603
"68","Carex_divulsa",0.481442629
"69","Carex_spicata",0.267171728
"70","Carex_otrubae",0.434568904
"71","Carex_appropinquata",0.511883361
"72","Carex_aquatilis",0.245512668
"73","Carex_nigra",0.517195898
"74","Carex_acuta",0.44870632
"75","Carex_sempervirens",0.471291711
"76","Carex_montana",0.46834733
"77","Carex_pilulifera",0.546542663
"78","Carex_panicea",0.565847819
"79","Carex_mucronata",0.382017043
"80","Carex_flacca",0.526339277
"81","Carex_humilis",0.46686762
"82","Carex_alba",0.552668216
"83","Carex_digitata",0.489958479
"84","Carex_hartmanii",0.522444234
"85","Carex_sylvatica",0.534026106
"86","Carex_distans",0.46834733
"87","Carex_hostiana",0.532754379
"88","Carex_flava",0.424881637
"89","Carex_extensa",0.571708832
"90","Carex_caryophyllea",0.376576957
"91","Carex_pallescens",0.499687083
"92","Carex_acutiformis",0.315970345
"93","Carex_elata",0.506505032
"94","Carex_limosa",0.403120521
"95","Carex_pseudocyperus",0.45331834
"96","Carex_vesicaria",0.499687083
"97","Carex_rostrata",0.457881897
"98","Carex_lasiocarpa",0.444044796
"99","Carex_riparia",0.522444234
"100","Carex_hirta",0.552668216
"101","Phleum_arenarium",0.389166084
"102","Phleum_rhaeticum",0.102433706
"103","Poa_angustifolia",0.330413773
"104","Echinochloa_crus-galli",0.5289167
"105","Apera_spica-venti",0.238046103
"106","Triticum_dicoccon",0.698970004
"107","Parapholis_filiformis",0.478566496
"108","Parapholis_strigosa",0.537819095
"109","Coleanthus_subtilis",0.201397124
"110","Trisetum_distichophyllum",0.200056666
"111","Calamagrostis_epigejos",-0.752370379
"112","Calamagrostis_varia",-0.167491087
"113","Calamagrostis_canescens",-0.040958608
"114","Nardus_stricta",0.428134794
"115","Melica_picta",0.419955748
"116","Melica_nutans",0.271841607
"117","Melica_uniflora",0.561101384
"118","Glyceria_striata",0.356025857
"119","Glyceria_maxima",-0.056980599
"120","Glyceria_fluitans",0.565847819
"121","Briza_maxima",0.357934847
"122","Brachypodium_pinnatum",0.475671188
"123","Brachypodium_sylvaticum",0.555094449
"124","Stipa_pennata",0.592176757
"125","Stipa_capillata",0.463892989
"126","Achnatherum_calamagrostis",0.012837225
"127","Bromus_erectus",0.591064607
"128","Bromus_inermis",0.312262006
"129","Bromus_ramosus",0.517195898
"130","Bromus_rubens",0.489958479
"131","Bromus_tectorum",0.478566496
"132","Bromus_sterilis",0.664641976
"133","Bromus_secalinus",0.592176757
"134","Bromus_commutatus",0.339332168
"135","Bromus_hordeaceus",0.503790683
"136","Bromus_arvensis",0.338576008
"137","Bromus_japonicus",0.208172527
"138","Bromus_squarrosus",0.534026106
"139","Hordeum_murinum",0.584331224
"140","Hordeum_secalinum",0.558708571
"141","Hordeum_vulgare",0.704150517
"142","Hordeum_jubatum",0.44870632
"143","Hordelymus_europaeus",0.413299764
"144","Eremopyrum_triticeum",0.487138375
"145","Elymus_caninus",0.658011397
"146","Elymus_farctus",0.565847819
"147","Elymus_repens",0.517195898
"148","Secale_cereale",0.740362689
