generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,3,4,0
3000,3,4,0
4000,2,3,1
5000,1,3,0
6000,2,4,0
7000,2,3,0
8000,1,2,1
9000,2,4,0
10000,1,3,1
11000,1,4,0
12000,1,4,0
13000,1,4,0
14000,2,3,1
15000,1,3,0
16000,3,4,1
17000,1,4,0
18000,2,3,0
19000,1,4,0
20000,2,4,0
21000,2,4,0
22000,1,2,1
23000,2,4,0
24000,1,3,0
25000,1,3,0
26000,3,4,1
27000,1,3,0
28000,3,4,0
29000,3,4,1
30000,1,3,0
31000,1,4,0
32000,1,4,0
33000,1,2,0
34000,1,3,0
35000,1,4,0
36000,1,2,0
37000,2,3,0
38000,2,4,0
39000,2,3,0
40000,1,3,0
41000,1,3,0
42000,1,2,0
43000,1,4,0
44000,1,3,0
45000,1,3,0
46000,2,3,0
47000,1,3,0
48000,1,4,0
49000,1,3,0
50000,1,4,0
51000,1,3,0
52000,1,3,0
53000,1,2,0
54000,1,4,0
55000,2,4,0
56000,1,3,0
57000,1,4,0
58000,2,3,0
59000,1,2,0
60000,3,4,1
61000,1,4,0
62000,1,3,0
63000,2,4,0
64000,3,4,0
65000,2,4,0
66000,2,4,0
67000,2,3,0
68000,3,4,0
69000,1,2,0
70000,2,4,0
71000,2,4,0
72000,2,4,0
73000,3,4,0
74000,2,3,0
75000,2,3,0
76000,3,4,0
77000,1,4,0
78000,1,2,0
79000,1,3,0
80000,1,3,0
81000,2,4,0
82000,1,2,0
83000,1,4,0
84000,1,3,0
85000,1,2,0
86000,2,3,0
87000,1,4,0
88000,1,4,0
89000,3,4,0
90000,1,4,0
91000,1,3,0
92000,2,3,0
93000,2,4,0
94000,1,2,0
95000,3,4,0
96000,2,3,0
97000,1,4,0
98000,2,4,0
99000,1,2,0
100000,2,4,0
