generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Juncus_atratus,Cedrus_atlantica,0,0.032,0,0.005,0
1000,Juncus_atratus,Cedrus_atlantica,0,0.151196,0.00575416,0.142871,0
2000,Juncus_atratus,Cedrus_atlantica,0,0.159324,0.00612976,0.187283,0
2000,Narthecium_ossifragum,NA,250.353,0.299064,-0.0212942,0.0646053,0
3000,Juncus_atratus,Cedrus_atlantica,0,0.165949,0.00937214,0.221174,0
3000,Stipa_pennata,Bromus_erectus,346.945,2.94589,0.188163,0.285505,0
4000,Juncus_atratus,Cedrus_atlantica,0,0.196373,0.00589397,0.241271,0
4000,Brachypodium_pinnatum,Stipa_pennata,346.849,2.71873,0.136607,0.377354,0
5000,Juncus_atratus,Cedrus_atlantica,0,0.206634,0.00589397,0.279425,0
5000,Stipa_pennata,Bromus_erectus,347.393,3.15823,0.113387,0.40839,0
6000,Juncus_atratus,Cedrus_atlantica,0,0.209325,0.00584006,0.279425,0
6000,Stipa_pennata,Bromus_erectus,347.373,3.7141,0.160475,1.33278,0
7000,Juncus_atratus,Cedrus_atlantica,0,0.209325,0.00625317,0.287196,0
7000,Brachypodium_pinnatum,Stipa_pennata,346.791,3.98241,0.121965,2.30531,0
8000,Juncus_atratus,Cedrus_atlantica,0,0.222047,0.00666183,0.313281,0
8000,Melica_picta,Briza_maxima,344.672,4.30298,0.150758,4.31324,0
9000,Juncus_atratus,Cedrus_atlantica,0,0.222047,0.00586135,0.310937,0
9000,Melica_picta,Briza_maxima,344.624,4.15277,0.238768,5.05961,0
10000,Juncus_atratus,Cedrus_atlantica,0,0.221549,0.0069124,0.323468,0
10000,Melica_picta,Briza_maxima,343.828,4.11449,0.160585,4.74874,0
10000,Calendula_officinalis,Scorzonera_hispanica,312.898,1.60937,0.0306635,2.30482,0
11000,Juncus_atratus,Cedrus_atlantica,0,0.228473,0.0069124,0.33712,0
11000,Melica_picta,Briza_maxima,344.818,4.29486,0.159818,4.56394,0
