generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-11680.1,1,0
1000,0,0.742434,-7944.23,0.0500814,0.192
2000,0,0.580723,-7911.39,0.195242,0.129
3000,1,-0.541609,-7832.2,1.02039,0.17
4000,1,-0.612807,-7736.84,1.20043,0.173707
5000,1,-2.63648,-7690.57,1.31162,0.162
6000,2,-3.29208,-7655.87,1.81473,0.185
7000,2,-2.63379,-7643.19,2.75344,0.282
8000,1,-2.26456,-7625.43,0.926312,0.176
9000,1,-3.06389,-7621.77,1.64756,0.167
10000,1,-2.31648,-7597.38,1.35421,0.195
11000,1,-1.73582,-7564.57,0.70349,0.174
12000,1,-1.96479,-7552.73,0.755988,0.195
13000,1,-1.62784,-7544.02,0.220293,0.135
14000,3,-12.6134,-7239.54,3.12555,0.171845
15000,4,-10.5431,-7181.01,2.66059,0.328
16000,4,-8.19545,-7162.07,1.35692,0.311
17000,4,-10.8496,-7135.92,4.4614,0.255
18000,4,-12.7177,-7107.51,2.14234,0.227
19000,6,-29.5012,-6968.36,7.59065,0.236
20000,6,-23.7576,-6964.86,4.68692,0.217
21000,6,-25.2519,-6940.44,2.23223,0.201
22000,6,-30.784,-6929.34,4.09834,0.234
23000,6,-37.6111,-6920.14,4.68557,0.231
24000,6,-33.8193,-6916.63,4.34438,0.187
25000,8,-33.3604,-6800.42,5.55533,0.194
26000,8,-35.0832,-6780.05,3.13948,0.195
27000,8,-35.9085,-6768.76,5.29995,0.173
28000,8,-37.9517,-6778.66,5.3578,0.175
29000,9,-33.1069,-6773.15,2.24939,0.217
30000,7,-33.6347,-6746.11,3.35177,0.182627
31000,8,-37.1169,-6746.01,6.09593,0.187
32000,7,-33.199,-6736.72,3.53817,0.175
33000,7,-42.5357,-6724.06,5.60293,0.162967
34000,5,-31.9964,-6655.63,2.10065,0.152
35000,6,-33.8958,-6652.36,2.40547,0.097
36000,5,-33.4381,-6655.23,3.4777,0.108
37000,5,-30.6874,-6647.4,1.45405,0.101
38000,5,-34.1131,-6641.16,4.49003,0.147
39000,5,-31.9616,-6632.24,2.22943,0.099
40000,9,-48.0928,-6418.51,5.53439,0.179364
41000,10,-43.5262,-6412.23,3.26632,0.16
42000,10,-46.1685,-6401.25,6.06505,0.168
43000,10,-44.7525,-6403.9,5.9956,0.152
44000,11,-43.2336,-6397.9,6.07933,0.21
45000,10,-42.7566,-6403.92,4.79711,0.16
46000,11,-46.2398,-6377.26,6.02007,0.184
47000,11,-45.7561,-6208.79,5.87251,0.141
48000,11,-46.9516,-6163.29,4.77452,0.152
49000,12,-47.9429,-6166.22,6.28105,0.157
50000,12,-46.4962,-6131.24,5.23487,0.161
51000,12,-51.7132,-6130.05,5.45882,0.14
52000,12,-48.1577,-6127.14,7.62096,0.153
53000,12,-50.9875,-6116.96,5.12912,0.145
54000,12,-46.3124,-6121.29,2.33697,0.131
55000,13,-49.6452,-6122.59,5.42331,0.189
56000,12,-48.5428,-6119.14,6.53201,0.142
57000,11,-46.3418,-6125.67,5.9845,0.127
58000,12,-48.167,-6124.31,8.41299,0.181
59000,12,-45.3205,-6130.02,6.42279,0.142
60000,12,-45.3866,-6125.25,5.25875,0.157
61000,12,-48.4793,-6123.26,6.65944,0.153
62000,12,-46.9869,-6119.03,7.22399,0.164
63000,11,-47.7503,-6116.79,7.9539,0.152
64000,11,-45.557,-6118.06,5.14894,0.147
65000,12,-46.9008,-6120.71,6.71871,0.148
66000,11,-45.2249,-6124.45,4.63987,0.119
67000,11,-47.4438,-6122.17,4.61162,0.141
68000,11,-59.3126,-6128.96,7.70808,0.126
69000,11,-47.4586,-6119.87,4.07745,0.147
70000,12,-49.0437,-6088.14,6.52408,0.158
71000,13,-48.1407,-6078.15,5.90359,0.174
72000,13,-50.9128,-6081.69,6.53793,0.17
73000,13,-54.117,-6076.13,6.63944,0.182
74000,12,-52.4434,-6079.67,8.03545,0.176
75000,13,-49.053,-6072.86,6.95111,0.166
76000,13,-53.7522,-6083.34,8.44953,0.133
77000,12,-52.7541,-6079.21,10.0079,0.136
78000,13,-55.8468,-6077.53,9.53455,0.121
79000,13,-53.7569,-6075.82,6.44468,0.117
80000,14,-58.2907,-6071.83,10.1815,0.177
81000,14,-57.0372,-6070.9,8.87185,0.141
82000,14,-57.2527,-6077.03,8.00109,0.155
83000,14,-54.5724,-6068.94,5.58349,0.157
84000,13,-61.0002,-6069.09,12.1343,0.17
85000,13,-60.7232,-6070.21,10.8164,0.157
86000,13,-52.929,-6077.46,4.6488,0.155
87000,14,-54.4507,-6069.13,7.0754,0.171
88000,12,-52.3252,-6071.57,6.1617,0.165
89000,13,-54.4866,-6067.94,8.37735,0.147
90000,13,-53.7353,-6077.49,5.1744,0.137
91000,13,-53.4337,-6065.89,6.16927,0.11
92000,13,-54.3488,-6065.33,7.36245,0.147
93000,12,-53.3917,-6061.55,5.65607,0.121
94000,12,-54.151,-6064.75,5.7864,0.093
95000,12,-56.4787,-6059.78,7.54359,0.092
96000,12,-55.5325,-6058.83,7.30613,0.108
97000,12,-56.4759,-6064.74,7.77494,0.121
98000,12,-53.6939,-6054.23,5.84123,0.093
99000,12,-56.6121,-6055.7,6.14011,0.095
